"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Pressure to publish original research","","","","",""
"  Always","38 (28.4%)","11 (23.9%)","25 (24.5%)","1 (100%)","75 (26.5%)"
"  Frequently","64 (47.8%)","9 (19.6%)","40 (39.2%)","0 (0%)","113 (39.9%)"
"  Occasionally","13 (9.7%)","4 (8.7%)","17 (16.7%)","0 (0%)","34 (12.0%)"
"  Rarely","6 (4.5%)","3 (6.5%)","7 (6.9%)","0 (0%)","16 (5.7%)"
"  Never","4 (3.0%)","1 (2.2%)","2 (2.0%)","0 (0%)","7 (2.5%)"
"  Don't know","7 (5.2%)","18 (39.1%)","8 (7.8%)","0 (0%)","33 (11.7%)"
"  Missing","2 (1.5%)","0 (0%)","3 (2.9%)","0 (0%)","5 (1.8%)"
"Low value of replication studies","","","","",""
"  Always","31 (23.1%)","7 (15.2%)","8 (7.8%)","0 (0%)","46 (16.3%)"
"  Frequently","56 (41.8%)","10 (21.7%)","44 (43.1%)","0 (0%)","110 (38.9%)"
"  Occasionally","21 (15.7%)","7 (15.2%)","26 (25.5%)","0 (0%)","54 (19.1%)"
"  Rarely","6 (4.5%)","2 (4.3%)","16 (15.7%)","0 (0%)","24 (8.5%)"
"  Never","6 (4.5%)","0 (0%)","1 (1.0%)","1 (100%)","8 (2.8%)"
"  Don't know","11 (8.2%)","20 (43.5%)","4 (3.9%)","0 (0%)","35 (12.4%)"
"  Missing","3 (2.2%)","0 (0%)","3 (2.9%)","0 (0%)","6 (2.1%)"
"Low chances of replicating a result","","","","",""
"  Always","8 (6.0%)","4 (8.7%)","4 (3.9%)","0 (0%)","16 (5.7%)"
"  Frequently","33 (24.6%)","9 (19.6%)","28 (27.5%)","0 (0%)","70 (24.7%)"
"  Occasionally","42 (31.3%)","11 (23.9%)","32 (31.4%)","0 (0%)","85 (30.0%)"
"  Rarely","26 (19.4%)","4 (8.7%)","20 (19.6%)","1 (100%)","51 (18.0%)"
"  Never","7 (5.2%)","1 (2.2%)","6 (5.9%)","0 (0%)","14 (4.9%)"
"  Don't know","14 (10.4%)","17 (37.0%)","8 (7.8%)","0 (0%)","39 (13.8%)"
"  Missing","4 (3.0%)","0 (0%)","4 (3.9%)","0 (0%)","8 (2.8%)"
"Lack of experience conducting replications","","","","",""
"  Always","10 (7.5%)","2 (4.3%)","7 (6.9%)","0 (0%)","19 (6.7%)"
"  Frequently","41 (30.6%)","11 (23.9%)","31 (30.4%)","1 (100%)","84 (29.7%)"
"  Occasionally","36 (26.9%)","9 (19.6%)","19 (18.6%)","0 (0%)","64 (22.6%)"
"  Rarely","23 (17.2%)","3 (6.5%)","26 (25.5%)","0 (0%)","52 (18.4%)"
"  Never","8 (6.0%)","0 (0%)","2 (2.0%)","0 (0%)","10 (3.5%)"
"  Don't know","13 (9.7%)","21 (45.7%)","13 (12.7%)","0 (0%)","47 (16.6%)"
"  Missing","3 (2.2%)","0 (0%)","4 (3.9%)","0 (0%)","7 (2.5%)"
"Difficult publishing peer-reviewed replications","","","","",""
"  Always","33 (24.6%)","5 (10.9%)","11 (10.8%)","0 (0%)","49 (17.3%)"
"  Frequently","45 (33.6%)","14 (30.4%)","37 (36.3%)","0 (0%)","96 (33.9%)"
"  Occasionally","24 (17.9%)","3 (6.5%)","25 (24.5%)","0 (0%)","52 (18.4%)"
"  Rarely","8 (6.0%)","2 (4.3%)","13 (12.7%)","1 (100%)","24 (8.5%)"
"  Never","5 (3.7%)","2 (4.3%)","3 (2.9%)","0 (0%)","10 (3.5%)"
"  Don't know","15 (11.2%)","20 (43.5%)","10 (9.8%)","0 (0%)","45 (15.9%)"
"  Missing","4 (3.0%)","0 (0%)","3 (2.9%)","0 (0%)","7 (2.5%)"
"Difficulty accessing/creating relevant data","","","","",""
"  Always","17 (12.7%)","4 (8.7%)","13 (12.7%)","0 (0%)","34 (12.0%)"
"  Frequently","59 (44.0%)","15 (32.6%)","43 (42.2%)","1 (100%)","118 (41.7%)"
"  Occasionally","33 (24.6%)","8 (17.4%)","27 (26.5%)","0 (0%)","68 (24.0%)"
"  Rarely","10 (7.5%)","2 (4.3%)","11 (10.8%)","0 (0%)","23 (8.1%)"
"  Never","4 (3.0%)","1 (2.2%)","2 (2.0%)","0 (0%)","7 (2.5%)"
"  Don't know","8 (6.0%)","16 (34.8%)","3 (2.9%)","0 (0%)","27 (9.5%)"
"  Missing","3 (2.2%)","0 (0%)","3 (2.9%)","0 (0%)","6 (2.1%)"
"Insufficient information about original methods","","","","",""
"  Always","18 (13.4%)","3 (6.5%)","11 (10.8%)","0 (0%)","32 (11.3%)"
"  Frequently","49 (36.6%)","11 (23.9%)","36 (35.3%)","1 (100%)","97 (34.3%)"
"  Occasionally","42 (31.3%)","10 (21.7%)","30 (29.4%)","0 (0%)","82 (29.0%)"
"  Rarely","14 (10.4%)","5 (10.9%)","16 (15.7%)","0 (0%)","35 (12.4%)"
"  Never","3 (2.2%)","0 (0%)","1 (1.0%)","0 (0%)","4 (1.4%)"
"  Don't know","5 (3.7%)","17 (37.0%)","5 (4.9%)","0 (0%)","27 (9.5%)"
"  Missing","3 (2.2%)","0 (0%)","3 (2.9%)","0 (0%)","6 (2.1%)"
"Difficulty recreating similar procedures","","","","",""
"  Always","13 (9.7%)","4 (8.7%)","9 (8.8%)","0 (0%)","26 (9.2%)"
"  Frequently","51 (38.1%)","9 (19.6%)","28 (27.5%)","1 (100%)","89 (31.4%)"
"  Occasionally","47 (35.1%)","10 (21.7%)","38 (37.3%)","0 (0%)","95 (33.6%)"
"  Rarely","10 (7.5%)","6 (13.0%)","16 (15.7%)","0 (0%)","32 (11.3%)"
"  Never","3 (2.2%)","0 (0%)","1 (1.0%)","0 (0%)","4 (1.4%)"
"  Don't know","7 (5.2%)","17 (37.0%)","6 (5.9%)","0 (0%)","30 (10.6%)"
"  Missing","3 (2.2%)","0 (0%)","4 (3.9%)","0 (0%)","7 (2.5%)"
"Lack of funding for replication studies","","","","",""
"  Always","37 (27.6%)","9 (19.6%)","23 (22.5%)","0 (0%)","69 (24.4%)"
"  Frequently","50 (37.3%)","11 (23.9%)","38 (37.3%)","0 (0%)","99 (35.0%)"
"  Occasionally","22 (16.4%)","4 (8.7%)","14 (13.7%)","0 (0%)","40 (14.1%)"
"  Rarely","7 (5.2%)","3 (6.5%)","8 (7.8%)","1 (100%)","19 (6.7%)"
"  Never","2 (1.5%)","1 (2.2%)","2 (2.0%)","0 (0%)","5 (1.8%)"
"  Don't know","13 (9.7%)","18 (39.1%)","14 (13.7%)","0 (0%)","45 (15.9%)"
"  Missing","3 (2.2%)","0 (0%)","3 (2.9%)","0 (0%)","6 (2.1%)"
"Fabrication of data or results by original authors","","","","",""
"  Always","12 (9.0%)","2 (4.3%)","10 (9.8%)","0 (0%)","24 (8.5%)"
"  Frequently","16 (11.9%)","1 (2.2%)","12 (11.8%)","0 (0%)","29 (10.2%)"
"  Occasionally","18 (13.4%)","2 (4.3%)","15 (14.7%)","0 (0%)","35 (12.4%)"
"  Rarely","34 (25.4%)","9 (19.6%)","35 (34.3%)","0 (0%)","78 (27.6%)"
"  Never","12 (9.0%)","2 (4.3%)","8 (7.8%)","1 (100%)","23 (8.1%)"
"  Don't know","38 (28.4%)","30 (65.2%)","19 (18.6%)","0 (0%)","87 (30.7%)"
"  Missing","4 (3.0%)","0 (0%)","3 (2.9%)","0 (0%)","7 (2.5%)"
"Ethical concerns","","","","",""
"  Always","7 (5.2%)","0 (0%)","11 (10.8%)","0 (0%)","18 (6.4%)"
"  Frequently","8 (6.0%)","5 (10.9%)","8 (7.8%)","0 (0%)","21 (7.4%)"
"  Occasionally","16 (11.9%)","11 (23.9%)","20 (19.6%)","0 (0%)","47 (16.6%)"
"  Rarely","47 (35.1%)","8 (17.4%)","35 (34.3%)","0 (0%)","90 (31.8%)"
"  Never","24 (17.9%)","3 (6.5%)","11 (10.8%)","1 (100%)","39 (13.8%)"
"  Don't know","29 (21.6%)","19 (41.3%)","12 (11.8%)","0 (0%)","60 (21.2%)"
"  Missing","3 (2.2%)","0 (0%)","5 (4.9%)","0 (0%)","8 (2.8%)"
"Known spatial variation in phenomena being studied","","","","",""
"  Always","8 (6.0%)","3 (6.5%)","12 (11.8%)","0 (0%)","23 (8.1%)"
"  Frequently","34 (25.4%)","11 (23.9%)","24 (23.5%)","0 (0%)","69 (24.4%)"
"  Occasionally","28 (20.9%)","7 (15.2%)","38 (37.3%)","0 (0%)","73 (25.8%)"
"  Rarely","23 (17.2%)","1 (2.2%)","11 (10.8%)","1 (100%)","36 (12.7%)"
"  Never","11 (8.2%)","0 (0%)","2 (2.0%)","0 (0%)","13 (4.6%)"
"  Don't know","27 (20.1%)","24 (52.2%)","12 (11.8%)","0 (0%)","63 (22.3%)"
"  Missing","3 (2.2%)","0 (0%)","3 (2.9%)","0 (0%)","6 (2.1%)"
